
Добавление 8631 заняло 789542 нс, 1 операций
Добавление 8162 заняло 1666 нс, 5 операций
Добавление 5335 заняло 1583 нс, 10 операций
Добавление 5617 заняло 1417 нс, 5 операций
Добавление 5719 заняло 1209 нс, 1 операций
Добавление 9822 заняло 2583 нс, 24 операций
Добавление 6 заняло 1292 нс, 1 операций
Добавление 1836 заняло 1833 нс, 18 операций
Добавление 6663 заняло 1958 нс, 14 операций
Добавление 1049 заняло 1333 нс, 6 операций
Добавление 5537 заняло 2417 нс, 23 операций
Добавление 7900 заняло 1625 нс, 1 операций
Добавление 546 заняло 1541 нс, 1 операций
Добавление 916 заняло 1334 нс, 1 операций
Добавление 8730 заняло 1292 нс, 1 операций
Добавление 2872 заняло 2125 нс, 10 операций
Добавление 9333 заняло 1417 нс, 5 операций
Добавление 7240 заняло 1791 нс, 6 операций
Добавление 9000 заняло 1250 нс, 1 операций
Добавление 9067 заняло 1750 нс, 6 операций
Добавление 1143 заняло 1459 нс, 5 операций
Добавление 6135 заняло 1500 нс, 6 операций
Добавление 4208 заняло 2083 нс, 24 операций
Добавление 8088 заняло 1916 нс, 10 операций
Добавление 4234 заняло 2167 нс, 5 операций
Добавление 4736 заняло 3709 нс, 14 операций
Добавление 9683 заняло 1291 нс, 1 операций
Добавление 4570 заняло 1750 нс, 5 операций
Добавление 3060 заняло 2166 нс, 1 операций
Добавление 6032 заняло 1625 нс, 5 операций
Добавление 5828 заняло 2333 нс, 29 операций
Добавление 4042 заняло 1416 нс, 5 операций
Добавление 3669 заняло 1209 нс, 1 операций
Добавление 5270 заняло 2292 нс, 18 операций
Добавление 3412 заняло 1375 нс, 1 операций
Добавление 6954 заняло 1584 нс, 1 операций
Добавление 1956 заняло 1208 нс, 1 операций
Добавление 7391 заняло 2208 нс, 5 операций
Добавление 6060 заняло 1541 нс, 5 операций
Добавление 7774 заняло 9791 нс, 5 операций
Добавление 7370 заняло 11708 нс, 58 операций
Добавление 6672 заняло 4458 нс, 1 операций
Добавление 8518 заняло 6041 нс, 5 операций
Добавление 3098 заняло 10709 нс, 40 операций
Добавление 763 заняло 7458 нс, 18 операций
Добавление 1858 заняло 6709 нс, 19 операций
Добавление 9385 заняло 5416 нс, 10 операций
Добавление 8886 заняло 4208 нс, 5 операций
Добавление 2092 заняло 5291 нс, 5 операций
Добавление 5400 заняло 4834 нс, 5 операций
Добавление 6879 заняло 6417 нс, 19 операций
Добавление 2847 заняло 4625 нс, 1 операций
Добавление 1829 заняло 4917 нс, 5 операций
Добавление 8940 заняло 5666 нс, 10 операций
Добавление 180 заняло 6208 нс, 15 операций
Добавление 7767 заняло 7167 нс, 27 операций
Добавление 9205 заняло 6792 нс, 15 операций
Добавление 5927 заняло 4833 нс, 5 операций
Добавление 4941 заняло 5750 нс, 1 операций
Добавление 2156 заняло 5292 нс, 10 операций
Добавление 7292 заняло 3542 нс, 5 операций
Добавление 7135 заняло 2250 нс, 1 операций
Добавление 1251 заняло 3042 нс, 10 операций
Добавление 5462 заняло 1708 нс, 1 операций
Добавление 2058 заняло 2083 нс, 1 операций
Добавление 6506 заняло 1833 нс, 1 операций
Добавление 2155 заняло 1750 нс, 1 операций
Добавление 5898 заняло 2375 нс, 14 операций
Добавление 3489 заняло 2292 нс, 1 операций
Добавление 2641 заняло 3125 нс, 18 операций
Добавление 8643 заняло 2292 нс, 19 операций
Добавление 8236 заняло 2125 нс, 18 операций
Добавление 2729 заняло 2166 нс, 10 операций
Добавление 1121 заняло 4292 нс, 40 операций
Добавление 8890 заняло 1458 нс, 1 операций
Добавление 1329 заняло 1792 нс, 5 операций
Добавление 5840 заняло 1708 нс, 5 операций
Добавление 6938 заняло 2542 нс, 14 операций
Добавление 9020 заняло 1709 нс, 5 операций
Добавление 7522 заняло 1708 нс, 1 операций
Добавление 2187 заняло 2083 нс, 15 операций
Добавление 1690 заняло 2834 нс, 29 операций
Добавление 1466 заняло 1667 нс, 5 операций
Добавление 8620 заняло 1375 нс, 1 операций
Добавление 9566 заняло 2083 нс, 5 операций
Добавление 3396 заняло 2417 нс, 10 операций
Добавление 6898 заняло 1709 нс, 5 операций
Добавление 2869 заняло 1833 нс, 1 операций
Добавление 3396 заняло 2125 нс, 1 операций
Добавление 9882 заняло 1625 нс, 5 операций
Добавление 6256 заняло 1625 нс, 5 операций
Добавление 1289 заняло 2125 нс, 14 операций
Добавление 284 заняло 2209 нс, 5 операций
Добавление 2602 заняло 2292 нс, 5 операций
Добавление 3825 заняло 1916 нс, 6 операций
Добавление 2754 заняло 1917 нс, 5 операций
Добавление 928 заняло 2542 нс, 14 операций
Добавление 1651 заняло 1583 нс, 1 операций
Добавление 2575 заняло 2709 нс, 31 операций
Добавление 2086 заняло 2125 нс, 10 операций
Добавление 67 заняло 2125 нс, 6 операций
Добавление 1657 заняло 7667 нс, 14 операций
Добавление 3422 заняло 1625 нс, 1 операций
Добавление 4794 заняло 2000 нс, 1 операций
Добавление 3814 заняло 1625 нс, 1 операций
Добавление 8846 заняло 1709 нс, 5 операций
Добавление 5121 заняло 2667 нс, 27 операций
Добавление 6357 заняло 1792 нс, 6 операций
Добавление 1942 заняло 1917 нс, 5 операций
Добавление 1105 заняло 1666 нс, 5 операций
Добавление 1258 заняло 1917 нс, 5 операций
Добавление 7839 заняло 1834 нс, 1 операций
Добавление 7174 заняло 1833 нс, 14 операций
Добавление 5523 заняло 2125 нс, 18 операций
Добавление 7037 заняло 1625 нс, 5 операций
Добавление 4248 заняло 2083 нс, 6 операций
Добавление 7429 заняло 1834 нс, 1 операций
Добавление 7315 заняло 1875 нс, 16 операций
Добавление 7903 заняло 9750 нс, 18 операций
Добавление 1189 заняло 31042 нс, 14 операций
Добавление 6908 заняло 2208 нс, 1 операций
Добавление 1980 заняло 2125 нс, 1 операций
Добавление 2224 заняло 2500 нс, 10 операций
Добавление 1541 заняло 1625 нс, 1 операций
Добавление 2758 заняло 2416 нс, 15 операций
Добавление 9380 заняло 3292 нс, 28 операций
Добавление 9122 заняло 1458 нс, 1 операций
Добавление 8769 заняло 2459 нс, 33 операций
Добавление 2252 заняло 1208 нс, 5 операций
Добавление 3205 заняло 1208 нс, 1 операций
Добавление 7301 заняло 1583 нс, 1 операций
Добавление 8370 заняло 1500 нс, 1 операций
Добавление 2924 заняло 1708 нс, 6 операций
Добавление 1913 заняло 1917 нс, 23 операций
Добавление 2849 заняло 1041 нс, 1 операций
Добавление 1597 заняло 2041 нс, 27 операций
Добавление 5877 заняло 2667 нс, 15 операций
Добавление 3326 заняло 1750 нс, 1 операций
Добавление 7359 заняло 1500 нс, 10 операций
Добавление 7321 заняло 917 нс, 1 операций
Добавление 674 заняло 2041 нс, 5 операций
Добавление 6745 заняло 1125 нс, 5 операций
Добавление 4309 заняло 1834 нс, 5 операций
Добавление 6913 заняло 2125 нс, 31 операций
Добавление 6785 заняло 1292 нс, 10 операций
Добавление 3734 заняло 1709 нс, 5 операций
Добавление 2124 заняло 1375 нс, 1 операций
Добавление 7333 заняло 1542 нс, 23 операций
Добавление 9070 заняло 1500 нс, 5 операций
Добавление 7198 заняло 1083 нс, 1 операций
Добавление 8191 заняло 3292 нс, 5 операций
Добавление 2075 заняло 2833 нс, 6 операций
Добавление 4561 заняло 11917 нс, 36 операций
Добавление 1345 заняло 1666 нс, 5 операций
Добавление 4209 заняло 875 нс, 5 операций
Добавление 1763 заняло 583 нс, 1 операций
Добавление 9712 заняло 584 нс, 1 операций
Добавление 3667 заняло 1250 нс, 23 операций
Добавление 8907 заняло 583 нс, 18 операций
Добавление 5688 заняло 667 нс, 14 операций
Добавление 2 заняло 667 нс, 1 операций
Добавление 9331 заняло 625 нс, 1 операций
Добавление 1458 заняло 583 нс, 28 операций
Добавление 5074 заняло 291 нс, 5 операций
Добавление 3522 заняло 959 нс, 47 операций
Добавление 438 заняло 417 нс, 5 операций
Добавление 2369 заняло 625 нс, 5 операций
Добавление 4152 заняло 500 нс, 5 операций
Добавление 4828 заняло 333 нс, 10 операций
Добавление 8051 заняло 959 нс, 5 операций
Добавление 9592 заняло 500 нс, 5 операций
Добавление 2898 заняло 541 нс, 1 операций
Добавление 8823 заняло 584 нс, 23 операций
Добавление 9767 заняло 584 нс, 14 операций
Добавление 9825 заняло 208 нс, 5 операций
Добавление 6749 заняло 583 нс, 1 операций
Добавление 7791 заняло 584 нс, 5 операций
Добавление 3928 заняло 500 нс, 14 операций
Добавление 9290 заняло 500 нс, 14 операций
Добавление 1240 заняло 667 нс, 5 операций
Добавление 7277 заняло 458 нс, 5 операций
Добавление 1191 заняло 333 нс, 5 операций
Добавление 1844 заняло 500 нс, 1 операций
Добавление 2972 заняло 292 нс, 1 операций
Добавление 3622 заняло 333 нс, 5 операций
Добавление 31 заняло 583 нс, 24 операций
Добавление 9815 заняло 542 нс, 27 операций
Добавление 9272 заняло 458 нс, 19 операций
Добавление 4781 заняло 334 нс, 1 операций
Добавление 9578 заняло 458 нс, 18 операций
Добавление 8160 заняло 1083 нс, 23 операций
Добавление 8362 заняло 21042 нс, 14 операций
Добавление 7797 заняло 1666 нс, 10 операций
Добавление 7778 заняло 417 нс, 5 операций
Добавление 9432 заняло 1208 нс, 1 операций
Добавление 9321 заняло 583 нс, 5 операций
Добавление 3672 заняло 916 нс, 1 операций
Добавление 7845 заняло 1459 нс, 38 операций
Добавление 8514 заняло 375 нс, 1 операций
Добавление 4751 заняло 1166 нс, 5 операций
Добавление 1725 заняло 1083 нс, 5 операций
Добавление 3009 заняло 1958 нс, 36 операций
Добавление 640 заняло 1458 нс, 31 операций
Добавление 836 заняло 417 нс, 5 операций
Добавление 7465 заняло 1417 нс, 18 операций
Добавление 1599 заняло 25208 нс, 1 операций
Добавление 4562 заняло 709 нс, 1 операций
Добавление 9638 заняло 833 нс, 5 операций
Добавление 9829 заняло 750 нс, 14 операций
Добавление 3357 заняло 1000 нс, 14 операций
Добавление 765 заняло 542 нс, 14 операций
Добавление 613 заняло 66125 нс, 5 операций
Добавление 1879 заняло 1208 нс, 6 операций
Добавление 595 заняло 1125 нс, 18 операций
Добавление 2468 заняло 3459 нс, 5 операций
Добавление 810 заняло 875 нс, 5 операций
Добавление 8704 заняло 1042 нс, 1 операций
Добавление 4007 заняло 1000 нс, 1 операций
Добавление 3142 заняло 2083 нс, 1 операций
Добавление 5064 заняло 3084 нс, 14 операций
Добавление 1361 заняло 2291 нс, 10 операций
Добавление 9932 заняло 1541 нс, 5 операций
Добавление 4067 заняло 1875 нс, 19 операций
Добавление 9723 заняло 1125 нс, 5 операций
Добавление 4523 заняло 1083 нс, 1 операций
Добавление 8693 заняло 1667 нс, 5 операций
Добавление 8668 заняло 1084 нс, 18 операций
Добавление 5164 заняло 750 нс, 1 операций
Добавление 1330 заняло 750 нс, 5 операций
Добавление 56 заняло 1209 нс, 1 операций
Добавление 1654 заняло 1833 нс, 10 операций
Добавление 694 заняло 1208 нс, 5 операций
Добавление 7116 заняло 2041 нс, 1 операций
Добавление 9293 заняло 1875 нс, 14 операций
Добавление 3787 заняло 1833 нс, 10 операций
Добавление 6195 заняло 1792 нс, 5 операций
Добавление 3196 заняло 1125 нс, 6 операций
Добавление 9750 заняло 1125 нс, 6 операций
Добавление 5741 заняло 1416 нс, 1 операций
Добавление 1776 заняло 1625 нс, 18 операций
Добавление 4566 заняло 1834 нс, 18 операций
Добавление 4088 заняло 4250 нс, 14 операций
Добавление 4840 заняло 959 нс, 5 операций
Добавление 3200 заняло 1208 нс, 5 операций
Добавление 9886 заняло 4958 нс, 28 операций
Добавление 9975 заняло 750 нс, 5 операций
Добавление 7299 заняло 2458 нс, 1 операций
Добавление 4540 заняло 2208 нс, 15 операций
Добавление 8354 заняло 1667 нс, 1 операций
Добавление 2256 заняло 2625 нс, 1 операций
Добавление 1074 заняло 2542 нс, 19 операций
Добавление 7831 заняло 1500 нс, 1 операций
Добавление 6768 заняло 2083 нс, 28 операций
Добавление 8399 заняло 20375 нс, 28 операций
Добавление 3275 заняло 2209 нс, 1 операций
Добавление 9135 заняло 1542 нс, 5 операций
Добавление 7157 заняло 1791 нс, 6 операций
Добавление 3953 заняло 1000 нс, 1 операций
Добавление 9346 заняло 708 нс, 1 операций
Добавление 6079 заняло 667 нс, 10 операций
Добавление 8596 заняло 1083 нс, 23 операций
Добавление 6852 заняло 47333 нс, 10 операций
Добавление 4292 заняло 14083 нс, 33 операций
Добавление 6450 заняло 1417 нс, 5 операций
Добавление 6223 заняло 1458 нс, 24 операций
Добавление 11 заняло 1291 нс, 1 операций
Добавление 9708 заняло 1583 нс, 1 операций
Добавление 5779 заняло 1041 нс, 15 операций
Добавление 4260 заняло 625 нс, 5 операций
Добавление 2526 заняло 11208 нс, 1 операций
Добавление 3814 заняло 1458 нс, 1 операций
Добавление 6272 заняло 1209 нс, 10 операций
Добавление 3815 заняло 1292 нс, 14 операций
Добавление 5342 заняло 7375 нс, 59 операций
Добавление 8942 заняло 5959 нс, 5 операций
Добавление 4956 заняло 2291 нс, 5 операций
Добавление 9448 заняло 3167 нс, 27 операций
Добавление 2293 заняло 92250 нс, 45 операций
Добавление 3300 заняло 2875 нс, 23 операций
Добавление 7779 заняло 2000 нс, 23 операций
Добавление 5985 заняло 1167 нс, 5 операций
Добавление 6844 заняло 958 нс, 1 операций
Добавление 126 заняло 958 нс, 1 операций
Добавление 6968 заняло 750 нс, 14 операций
Добавление 2079 заняло 4959 нс, 5 операций
Добавление 358 заняло 11042 нс, 6 операций
Добавление 2857 заняло 2750 нс, 14 операций
Добавление 3626 заняло 2125 нс, 10 операций
Добавление 3338 заняло 1125 нс, 5 операций
Добавление 5386 заняло 1750 нс, 1 операций
Добавление 1902 заняло 1667 нс, 5 операций
Добавление 8134 заняло 2000 нс, 1 операций
Добавление 5378 заняло 1167 нс, 14 операций
Добавление 4462 заняло 1500 нс, 5 операций
Добавление 6701 заняло 1584 нс, 5 операций
Добавление 1446 заняло 1292 нс, 5 операций
Добавление 2072 заняло 2541 нс, 45 операций
Добавление 4862 заняло 1333 нс, 16 операций
Добавление 6281 заняло 1167 нс, 5 операций
Добавление 5863 заняло 542 нс, 1 операций
Добавление 5158 заняло 1292 нс, 15 операций
Добавление 428 заняло 1459 нс, 50 операций
Добавление 8928 заняло 1292 нс, 14 операций
Добавление 9944 заняло 1166 нс, 18 операций
Добавление 5836 заняло 250 нс, 5 операций
Добавление 7778 заняло 416 нс, 1 операций
Добавление 4292 заняло 375 нс, 1 операций
Добавление 382 заняло 292 нс, 5 операций
Добавление 3336 заняло 708 нс, 18 операций
Добавление 1715 заняло 1000 нс, 27 операций
Добавление 9643 заняло 1208 нс, 10 операций
Добавление 8021 заняло 917 нс, 18 операций
Добавление 9793 заняло 458 нс, 1 операций
Добавление 6511 заняло 750 нс, 14 операций
Добавление 7440 заняло 583 нс, 5 операций
Добавление 6016 заняло 708 нс, 1 операций
Добавление 4192 заняло 666 нс, 5 операций
Добавление 3109 заняло 792 нс, 1 операций
Добавление 8611 заняло 750 нс, 5 операций
Добавление 2065 заняло 2084 нс, 1 операций
Добавление 5724 заняло 1292 нс, 1 операций
Добавление 8562 заняло 3084 нс, 10 операций
Добавление 8804 заняло 1209 нс, 1 операций
Добавление 2949 заняло 1417 нс, 1 операций
Добавление 3504 заняло 1709 нс, 5 операций
Добавление 376 заняло 1833 нс, 18 операций
Добавление 8119 заняло 1417 нс, 14 операций
Добавление 1671 заняло 1250 нс, 1 операций
Добавление 7595 заняло 2042 нс, 14 операций
Добавление 3723 заняло 1666 нс, 5 операций
Добавление 8980 заняло 1958 нс, 10 операций
Добавление 7060 заняло 1458 нс, 5 операций
Добавление 3316 заняло 1208 нс, 1 операций
Добавление 4405 заняло 875 нс, 18 операций
Добавление 8319 заняло 1042 нс, 14 операций
Добавление 6686 заняло 625 нс, 19 операций
Добавление 2216 заняло 1083 нс, 10 операций
Добавление 360 заняло 750 нс, 5 операций
Добавление 191 заняло 375 нс, 5 операций
Добавление 8026 заняло 375 нс, 1 операций
Добавление 834 заняло 583 нс, 1 операций
Добавление 9539 заняло 500 нс, 1 операций
Добавление 3933 заняло 667 нс, 14 операций
Добавление 4325 заняло 292 нс, 5 операций
Добавление 6197 заняло 500 нс, 1 операций
Добавление 5710 заняло 500 нс, 5 операций
Добавление 5978 заняло 500 нс, 27 операций
Добавление 9683 заняло 167 нс, 1 операций
Добавление 4521 заняло 625 нс, 1 операций
Добавление 5744 заняло 375 нс, 6 операций
Добавление 717 заняло 542 нс, 19 операций
Добавление 4103 заняло 292 нс, 5 операций
Добавление 7984 заняло 291 нс, 5 операций
Добавление 3728 заняло 833 нс, 19 операций
Добавление 9448 заняло 208 нс, 1 операций
Добавление 5791 заняло 250 нс, 5 операций
Добавление 5555 заняло 500 нс, 5 операций
Добавление 456 заняло 291 нс, 5 операций
Добавление 7990 заняло 416 нс, 23 операций
Добавление 551 заняло 459 нс, 5 операций
Добавление 3102 заняло 542 нс, 23 операций
Добавление 6597 заняло 292 нс, 1 операций
Добавление 8163 заняло 250 нс, 1 операций
Добавление 6942 заняло 375 нс, 5 операций
Добавление 5316 заняло 333 нс, 5 операций
Добавление 7259 заняло 750 нс, 14 операций
Добавление 4823 заняло 333 нс, 1 операций
Добавление 150 заняло 792 нс, 19 операций
Добавление 2000 заняло 417 нс, 5 операций
Добавление 5398 заняло 416 нс, 1 операций
Добавление 6929 заняло 458 нс, 23 операций
Добавление 4868 заняло 708 нс, 5 операций
Добавление 9034 заняло 1458 нс, 37 операций
Добавление 9691 заняло 1167 нс, 24 операций
Добавление 3053 заняло 542 нс, 1 операций
Добавление 8727 заняло 917 нс, 14 операций
Добавление 6738 заняло 333 нс, 5 операций
Добавление 5516 заняло 250 нс, 5 операций
Добавление 3873 заняло 500 нс, 5 операций
Добавление 1429 заняло 709 нс, 14 операций
Добавление 8013 заняло 334 нс, 5 операций
Добавление 3899 заняло 583 нс, 5 операций
Добавление 6842 заняло 1084 нс, 41 операций
Добавление 3825 заняло 375 нс, 1 операций
Добавление 1513 заняло 708 нс, 1 операций
Добавление 7702 заняло 541 нс, 1 операций
Добавление 4845 заняло 417 нс, 14 операций
Добавление 7113 заняло 459 нс, 1 операций
Добавление 3198 заняло 542 нс, 14 операций
Добавление 3664 заняло 292 нс, 1 операций
Добавление 6396 заняло 625 нс, 1 операций
Добавление 124 заняло 458 нс, 1 операций
Добавление 7170 заняло 292 нс, 5 операций
Добавление 817 заняло 500 нс, 6 операций
Добавление 456 заняло 291 нс, 1 операций
Добавление 1689 заняло 583 нс, 14 операций
Добавление 8697 заняло 542 нс, 5 операций
Добавление 4499 заняло 416 нс, 10 операций
Добавление 5373 заняло 459 нс, 1 операций
Добавление 4754 заняло 375 нс, 6 операций
Добавление 4760 заняло 208 нс, 5 операций
Добавление 6285 заняло 541 нс, 19 операций
Добавление 1167 заняло 959 нс, 32 операций
Добавление 8575 заняло 417 нс, 5 операций
Добавление 1844 заняло 500 нс, 1 операций
Добавление 3693 заняло 833 нс, 5 операций
Добавление 8703 заняло 334 нс, 1 операций
Добавление 5199 заняло 583 нс, 1 операций
Добавление 6604 заняло 458 нс, 5 операций
Добавление 686 заняло 3333 нс, 5 операций
Добавление 4330 заняло 3042 нс, 23 операций
Добавление 4378 заняло 791 нс, 5 операций
Добавление 688 заняло 1333 нс, 6 операций
Добавление 4986 заняло 1667 нс, 6 операций
Добавление 5198 заняло 958 нс, 1 операций
Добавление 1810 заняло 1458 нс, 1 операций
Добавление 7548 заняло 1958 нс, 5 операций
Добавление 2920 заняло 4000 нс, 23 операций
Добавление 8137 заняло 1834 нс, 1 операций
Добавление 5575 заняло 1334 нс, 1 операций
Добавление 9429 заняло 1542 нс, 1 операций
Добавление 7334 заняло 1458 нс, 1 операций
Добавление 6448 заняло 1750 нс, 14 операций
Добавление 5001 заняло 959 нс, 5 операций
Добавление 5630 заняло 1084 нс, 6 операций
Добавление 6370 заняло 792 нс, 1 операций
Добавление 808 заняло 1334 нс, 5 операций
Добавление 6440 заняло 1583 нс, 24 операций
Добавление 615 заняло 1416 нс, 5 операций
Добавление 9410 заняло 1833 нс, 14 операций
Добавление 2373 заняло 1958 нс, 10 операций
Добавление 9672 заняло 1042 нс, 5 операций
Добавление 6195 заняло 2417 нс, 1 операций
Добавление 7076 заняло 1959 нс, 10 операций
Добавление 4525 заняло 1375 нс, 5 операций
Добавление 9585 заняло 1125 нс, 1 операций
Добавление 2741 заняло 1542 нс, 5 операций
Добавление 2495 заняло 875 нс, 14 операций
Добавление 7432 заняло 1917 нс, 36 операций
Добавление 4210 заняло 834 нс, 6 операций
Добавление 7687 заняло 1000 нс, 23 операций
Добавление 2360 заняло 625 нс, 5 операций
Добавление 615 заняло 1250 нс, 1 операций
Добавление 5749 заняло 1250 нс, 19 операций
Добавление 1030 заняло 500 нс, 1 операций
Добавление 6545 заняло 1208 нс, 14 операций
Добавление 1389 заняло 917 нс, 1 операций
Добавление 5550 заняло 667 нс, 18 операций
Добавление 1773 заняло 375 нс, 5 операций
Добавление 4747 заняло 1083 нс, 5 операций
Добавление 5838 заняло 834 нс, 6 операций
Добавление 1805 заняло 500 нс, 14 операций
Добавление 1132 заняло 500 нс, 1 операций
Добавление 9117 заняло 709 нс, 10 операций
Добавление 1251 заняло 708 нс, 1 операций
Добавление 2979 заняло 1083 нс, 6 операций
Добавление 8548 заняло 1292 нс, 5 операций
Добавление 3069 заняло 625 нс, 24 операций
Добавление 7703 заняло 334 нс, 1 операций
Добавление 9953 заняло 791 нс, 1 операций
Добавление 3026 заняло 334 нс, 1 операций
Добавление 138 заняло 750 нс, 1 операций
Добавление 2354 заняло 542 нс, 31 операций
Добавление 4779 заняло 625 нс, 15 операций
Добавление 3622 заняло 625 нс, 1 операций
Добавление 156 заняло 375 нс, 6 операций
Добавление 4511 заняло 292 нс, 5 операций
Добавление 6460 заняло 709 нс, 5 операций
Добавление 9824 заняло 375 нс, 1 операций
Добавление 2243 заняло 541 нс, 1 операций
Добавление 8187 заняло 1166 нс, 27 операций
Добавление 7539 заняло 417 нс, 14 операций
Добавление 5030 заняло 958 нс, 37 операций
Добавление 1501 заняло 2500 нс, 32 операций
Добавление 4317 заняло 625 нс, 5 операций
Добавление 9083 заняло 542 нс, 5 операций
Добавление 3667 заняло 625 нс, 1 операций
Добавление 4132 заняло 792 нс, 19 операций
Добавление 9932 заняло 250 нс, 1 операций
Добавление 4633 заняло 416 нс, 10 операций
Добавление 4319 заняло 375 нс, 10 операций
Добавление 3219 заняло 791 нс, 23 операций
Добавление 7618 заняло 292 нс, 1 операций
Добавление 942 заняло 500 нс, 1 операций
Добавление 6487 заняло 292 нс, 5 операций
Добавление 7576 заняло 291 нс, 5 операций
Добавление 11 заняло 542 нс, 1 операций
Добавление 9516 заняло 625 нс, 23 операций
Добавление 1657 заняло 125 нс, 1 операций
